id,title,severity,status,date
117,Cross-site scripting,High,Open,2025-02-18
118,DDoS attack,Low,Closed,2024-12-07
119,Data breach,Medium,In Progress,2025-04-20
120,Ransomware detected,Medium,Open,2025-02-24
121,Phishing attack,High,Closed,2025-05-08
122,Cross-site scripting,Low,Resolved,2024-12-15
123,Malware infection,Critical,Open,2025-01-15
124,Credential stuffing,Medium,Open,2025-10-22
125,Ransomware detected,High,In Progress,2025-01-30
126,SQL injection,High,In Progress,2025-07-01
127,Data breach,High,Closed,2024-12-27
128,Credential stuffing,Medium,Open,2025-01-25
129,SQL injection,Low,Resolved,2025-07-21
130,Insider threat,Critical,Resolved,2025-08-24
131,Malware infection,Medium,Resolved,2025-03-24
132,Malware infection,Low,Closed,2025-07-17
133,Unauthorized access,High,Open,2025-02-06
134,SQL injection,Medium,Closed,2024-11-20
135,Data breach,Medium,In Progress,2025-05-26
136,Insider threat,High,In Progress,2025-09-08
137,DDoS attack,Critical,Resolved,2025-06-11
138,Data breach,High,Resolved,2025-11-04
139,Cross-site scripting,Critical,Open,2025-07-31
140,Malware infection,Medium,Closed,2025-10-15
141,Ransomware detected,High,Closed,2025-05-30
142,Unauthorized access,Critical,Resolved,2025-07-03
143,Cross-site scripting,High,Resolved,2025-03-16
144,Cross-site scripting,Critical,Closed,2025-09-07
145,Unauthorized access,Critical,Open,2025-08-26
146,Phishing attack,Critical,Resolved,2025-02-21
147,Unauthorized access,Critical,In Progress,2025-09-13
148,SQL injection,Low,Closed,2025-10-27
149,Phishing attack,Low,In Progress,2025-11-02
150,Data breach,High,Open,2024-12-13
151,DDoS attack,High,In Progress,2025-03-09
152,SQL injection,Medium,Closed,2025-09-19
153,Unauthorized access,High,Resolved,2025-08-23
154,Unauthorized access,Critical,Resolved,2025-07-19
155,Insider threat,Medium,Open,2025-04-07
156,Malware infection,High,In Progress,2025-03-30
157,Ransomware detected,Critical,Closed,2025-01-25
158,SQL injection,Critical,Resolved,2025-03-30
159,Ransomware detected,High,Resolved,2025-06-12
160,Phishing attack,High,Closed,2025-09-18
161,Credential stuffing,High,Open,2025-03-10
162,Phishing attack,High,Closed,2025-11-02
163,Malware infection,Low,Closed,2025-08-06
164,Malware infection,High,Closed,2025-01-05
165,Insider threat,Medium,Resolved,2025-09-17
166,Cross-site scripting,Low,Closed,2025-02-28
167,Phishing attack,High,Resolved,2025-10-26
168,Ransomware detected,High,In Progress,2025-06-02
169,Credential stuffing,Medium,Closed,2024-11-27
170,Data breach,Medium,In Progress,2025-05-09
171,DDoS attack,Low,Open,2025-03-19
172,Phishing attack,Medium,Closed,2025-02-05
173,Phishing attack,Critical,Resolved,2025-01-11
174,Malware infection,Critical,In Progress,2025-03-04
175,Credential stuffing,High,Resolved,2025-06-24
176,Unauthorized access,Medium,Closed,2025-07-08
177,Cross-site scripting,High,Resolved,2025-08-26
178,Data breach,Low,Open,2024-11-18
179,Unauthorized access,Medium,Resolved,2025-04-09
180,Credential stuffing,High,Closed,2025-05-04
181,Cross-site scripting,High,Open,2025-06-12
182,DDoS attack,Critical,Closed,2025-02-04
183,Unauthorized access,Critical,In Progress,2025-09-04
184,Cross-site scripting,Low,Resolved,2025-01-27
185,Malware infection,Low,Closed,2025-11-01
186,Unauthorized access,Low,Resolved,2025-11-10
187,DDoS attack,Low,Open,2025-03-24
188,Credential stuffing,High,Closed,2025-03-23
189,Malware infection,Critical,In Progress,2025-07-20
190,Malware infection,Medium,Open,2025-08-30
191,SQL injection,Critical,Open,2025-11-08
192,Ransomware detected,Low,Resolved,2025-09-18
193,Insider threat,Low,Closed,2025-11-06
194,Cross-site scripting,Low,Open,2025-02-25
195,Credential stuffing,Critical,In Progress,2024-12-14
196,Cross-site scripting,Critical,In Progress,2025-08-14
197,SQL injection,Low,Closed,2025-08-24
198,Insider threat,Medium,Closed,2025-01-14
199,SQL injection,Low,In Progress,2025-10-15
200,Phishing attack,Medium,Open,2024-12-20
201,Credential stuffing,High,Closed,2025-04-29
202,Insider threat,Medium,In Progress,2025-02-03
203,Phishing attack,Critical,Resolved,2025-04-21
204,Phishing attack,Medium,Closed,2025-04-30
205,DDoS attack,Low,Closed,2024-12-05
206,SQL injection,High,In Progress,2025-06-03
207,Phishing attack,High,Open,2025-06-11
208,Unauthorized access,Medium,Closed,2024-11-19
209,DDoS attack,High,In Progress,2025-03-20
210,SQL injection,Critical,Open,2025-01-11
211,Unauthorized access,Medium,In Progress,2025-07-22
212,Malware infection,Low,In Progress,2025-09-23
213,Unauthorized access,High,In Progress,2025-03-19
214,Malware infection,Medium,In Progress,2025-01-25
215,Data breach,Medium,In Progress,2025-05-25
216,Phishing attack,Critical,Closed,2025-01-31
217,Insider threat,Critical,Closed,2025-10-01
218,Unauthorized access,High,In Progress,2024-11-18
219,SQL injection,Critical,Closed,2025-03-02
220,Unauthorized access,Medium,In Progress,2025-03-26
221,Credential stuffing,Medium,Closed,2025-05-29
222,DDoS attack,Medium,Resolved,2025-09-19
223,Insider threat,Low,In Progress,2025-10-25
224,Credential stuffing,Critical,Closed,2025-07-20
225,Cross-site scripting,Critical,Closed,2024-12-28
226,Ransomware detected,Medium,Open,2025-02-09
227,Phishing attack,Low,In Progress,2025-06-09
228,SQL injection,Low,Closed,2025-09-18
229,Ransomware detected,Medium,Open,2025-10-13
230,Malware infection,Low,Resolved,2025-04-13
231,Malware infection,Low,In Progress,2025-09-13
232,Malware infection,High,Resolved,2024-12-27
233,Phishing attack,Medium,Open,2025-07-22
234,Malware infection,Medium,Resolved,2025-09-09
235,SQL injection,Low,Closed,2025-01-16
236,Cross-site scripting,High,Resolved,2025-06-01
237,Ransomware detected,Low,In Progress,2024-12-11
238,DDoS attack,Medium,In Progress,2025-01-30
239,DDoS attack,High,Resolved,2025-03-30
240,Data breach,Critical,Resolved,2025-06-09
241,Insider threat,High,In Progress,2025-04-10
242,Credential stuffing,Low,Closed,2025-07-24
243,Phishing attack,Critical,In Progress,2025-04-15
244,Credential stuffing,Medium,Open,2025-03-06
245,DDoS attack,High,Resolved,2025-10-09
246,Malware infection,Medium,Closed,2025-05-10
247,Phishing attack,High,Closed,2025-02-10
248,Malware infection,High,In Progress,2024-12-06
249,Unauthorized access,Low,Closed,2025-07-13
250,Unauthorized access,Medium,In Progress,2025-09-28
251,DDoS attack,Low,Closed,2025-01-14
252,Unauthorized access,Critical,In Progress,2025-09-25
253,Malware infection,Critical,Resolved,2025-05-29
254,Phishing attack,Low,Closed,2025-04-13
255,Insider threat,High,Resolved,2025-01-21
256,Data breach,Low,In Progress,2025-08-05
257,Data breach,Medium,Closed,2025-11-05
258,Credential stuffing,High,In Progress,2025-09-08
259,Phishing attack,High,Open,2024-11-22
260,Malware infection,Critical,In Progress,2025-05-24
261,Data breach,Critical,Closed,2025-09-19
262,Data breach,High,Closed,2025-10-01
263,Malware infection,Critical,Resolved,2025-02-01
264,Credential stuffing,Low,In Progress,2025-05-02
265,Cross-site scripting,High,Open,2024-12-18
266,Phishing attack,Low,Closed,2025-09-14
267,Credential stuffing,High,Open,2025-10-02
268,SQL injection,High,In Progress,2025-06-01
269,DDoS attack,Medium,In Progress,2024-11-28
270,Insider threat,Medium,Resolved,2024-12-14
271,Ransomware detected,Low,In Progress,2025-02-24
272,Insider threat,Medium,In Progress,2025-08-09
273,SQL injection,High,Resolved,2024-11-25
274,Malware infection,High,In Progress,2025-04-01
275,Phishing attack,Low,Resolved,2025-08-01
276,Insider threat,High,In Progress,2025-11-11
277,DDoS attack,Medium,Resolved,2025-02-15
278,Phishing attack,Medium,Resolved,2025-07-12
279,Unauthorized access,Medium,Closed,2025-06-15
280,Unauthorized access,Low,In Progress,2025-09-08
281,SQL injection,Critical,Closed,2025-02-07
282,Phishing attack,Critical,Open,2025-07-21
283,Credential stuffing,High,Closed,2024-12-21
284,Unauthorized access,High,Closed,2025-10-18
285,Unauthorized access,Critical,In Progress,2025-04-18
286,Credential stuffing,Critical,Closed,2025-04-16
287,Data breach,Medium,Resolved,2025-09-24
288,Cross-site scripting,Low,Resolved,2025-07-07
289,Cross-site scripting,High,In Progress,2025-02-21
290,Unauthorized access,Low,Resolved,2025-03-10
291,Malware infection,High,Resolved,2025-02-21
292,Malware infection,High,In Progress,2024-12-14
293,Unauthorized access,Low,In Progress,2025-07-17
294,Data breach,High,Closed,2024-12-11
295,SQL injection,Critical,Closed,2025-10-17
296,Data breach,Low,Open,2025-08-21
297,Credential stuffing,Medium,Closed,2025-02-24
298,Unauthorized access,Medium,Resolved,2025-10-22
299,DDoS attack,High,In Progress,2025-02-27
300,Ransomware detected,High,Closed,2025-01-20
301,Unauthorized access,Critical,Open,2025-08-07
302,Cross-site scripting,High,Closed,2025-06-30
303,Unauthorized access,Critical,Resolved,2025-01-29
304,Insider threat,Low,In Progress,2024-11-15
305,Malware infection,Medium,Open,2025-03-29
306,DDoS attack,Critical,Open,2025-05-24
307,SQL injection,Critical,Closed,2025-04-12
308,SQL injection,High,Open,2025-09-05
309,Data breach,Medium,Resolved,2025-03-16
310,Ransomware detected,Low,In Progress,2025-07-27
311,Ransomware detected,High,Closed,2025-07-10
312,Credential stuffing,High,Closed,2025-03-09
313,Insider threat,High,Open,2025-02-04
314,Phishing attack,Low,Closed,2025-08-01
315,Phishing attack,Medium,Resolved,2025-03-13
316,SQL injection,Critical,Resolved,2025-07-29
317,DDoS attack,Medium,Resolved,2025-09-10
318,Unauthorized access,High,Closed,2025-05-01
319,Credential stuffing,Medium,Open,2025-11-02
320,Malware infection,Critical,Closed,2025-06-04
321,Insider threat,Critical,Closed,2025-07-17
322,Phishing attack,Critical,Closed,2025-04-22
323,Insider threat,High,Closed,2024-12-17
324,Insider threat,Medium,Closed,2025-06-01
325,SQL injection,Low,Resolved,2025-06-12
326,SQL injection,High,Open,2024-12-11
327,SQL injection,Critical,Open,2025-03-25
328,SQL injection,High,Resolved,2025-11-07
329,SQL injection,High,Closed,2025-08-29
330,Ransomware detected,Low,Closed,2025-03-12
331,Unauthorized access,High,Closed,2024-12-31
332,DDoS attack,Low,In Progress,2025-04-03
333,Unauthorized access,Low,Resolved,2025-04-07
334,Unauthorized access,Medium,In Progress,2024-12-17
335,Cross-site scripting,High,In Progress,2025-11-04
336,Cross-site scripting,Critical,Resolved,2025-01-29
337,Insider threat,Low,Closed,2025-05-05
338,Phishing attack,Low,Closed,2025-07-20
339,Cross-site scripting,Critical,In Progress,2025-04-18
340,DDoS attack,Medium,Open,2025-07-28
341,DDoS attack,Medium,In Progress,2025-02-07
342,Cross-site scripting,Low,Open,2025-09-02
343,Credential stuffing,Critical,Closed,2024-12-11
344,Phishing attack,Medium,In Progress,2025-02-09
345,SQL injection,High,Closed,2024-12-02
346,Data breach,High,Closed,2025-02-13
347,SQL injection,Low,In Progress,2025-08-23
348,DDoS attack,Critical,Open,2025-04-30
349,SQL injection,Medium,In Progress,2025-04-04
350,Unauthorized access,Medium,In Progress,2025-08-02
351,Malware infection,Low,Resolved,2025-04-27
352,Unauthorized access,High,In Progress,2024-12-30
353,Phishing attack,Critical,Open,2025-07-11
354,Data breach,Critical,In Progress,2025-08-16
355,Cross-site scripting,Low,Closed,2025-09-01
356,Ransomware detected,Medium,Resolved,2025-06-17
357,Insider threat,High,Closed,2025-09-08
358,DDoS attack,Medium,Resolved,2025-08-21
359,Insider threat,Medium,Open,2025-10-07
360,Credential stuffing,Low,Resolved,2025-09-28
361,Phishing attack,Medium,Closed,2025-09-19
362,Malware infection,Medium,Closed,2025-07-25
363,Data breach,Critical,Open,2025-09-04
364,SQL injection,Critical,Closed,2025-10-19
365,Unauthorized access,Critical,Closed,2025-04-05
366,Cross-site scripting,Low,Resolved,2024-11-20
367,Phishing attack,Critical,Closed,2024-12-22
368,Insider threat,High,Open,2024-12-25
369,SQL injection,Low,In Progress,2025-01-20
370,Data breach,Low,Closed,2025-03-18
371,Cross-site scripting,Low,Open,2025-06-08
372,Ransomware detected,Low,Resolved,2025-08-22
373,DDoS attack,Medium,Open,2025-08-26
374,Malware infection,Critical,Open,2025-07-09
375,SQL injection,High,Resolved,2025-02-25
376,Credential stuffing,Critical,Closed,2024-12-02
377,DDoS attack,Medium,Open,2025-03-25
378,SQL injection,High,In Progress,2024-12-30
379,Cross-site scripting,Low,Closed,2025-04-19
380,Insider threat,Medium,In Progress,2025-11-07
381,Unauthorized access,Medium,Closed,2025-09-10
382,Malware infection,Critical,Closed,2025-06-30
383,SQL injection,High,Open,2025-07-05
384,Insider threat,Critical,In Progress,2025-06-21
385,Ransomware detected,High,Open,2025-04-18
386,Cross-site scripting,Medium,Closed,2025-02-20
387,SQL injection,Medium,In Progress,2025-04-01
388,Malware infection,Critical,Closed,2025-04-11
389,Phishing attack,High,In Progress,2025-07-20
390,Data breach,Low,Open,2025-01-03
391,Ransomware detected,Low,Open,2025-01-29
392,Malware infection,High,Resolved,2025-09-11
393,Data breach,High,Closed,2025-06-05
394,Data breach,Medium,Resolved,2024-12-21
395,Insider threat,Critical,In Progress,2025-05-18
396,Data breach,Low,Resolved,2025-02-05
397,Data breach,High,In Progress,2025-01-11
398,DDoS attack,High,In Progress,2025-04-02
399,Phishing attack,Critical,Resolved,2025-03-17
400,Malware infection,Low,Closed,2025-02-16
401,Malware infection,High,Open,2025-05-25
402,Credential stuffing,High,Resolved,2025-05-05
403,Credential stuffing,Critical,Open,2025-06-29
404,SQL injection,Critical,Open,2025-10-23
405,Phishing attack,High,Closed,2025-07-27
406,DDoS attack,High,Open,2025-06-29
407,Cross-site scripting,Low,Open,2025-07-17
408,Unauthorized access,Low,In Progress,2024-11-18
409,Ransomware detected,Critical,Closed,2025-06-26
410,Credential stuffing,Critical,Closed,2024-11-18
411,Ransomware detected,Low,In Progress,2025-07-03
412,Unauthorized access,Critical,Closed,2025-10-07
413,DDoS attack,Medium,In Progress,2025-01-31
414,Unauthorized access,High,In Progress,2024-11-24
415,Malware infection,Critical,Open,2025-08-18
416,Cross-site scripting,Low,In Progress,2025-04-24
417,Data breach,High,Closed,2025-11-05
418,SQL injection,Low,Open,2025-10-23
419,Malware infection,High,Open,2025-11-06
420,Cross-site scripting,Critical,Resolved,2025-05-27
421,Ransomware detected,High,In Progress,2025-04-22
422,Credential stuffing,High,Open,2024-12-21
423,Data breach,Medium,In Progress,2025-01-30
424,Phishing attack,Medium,Open,2025-07-13
425,Phishing attack,Low,Closed,2025-10-08
426,Data breach,High,In Progress,2025-03-03
427,Credential stuffing,High,Closed,2025-10-06
428,Unauthorized access,Critical,Resolved,2025-04-30
429,Ransomware detected,High,Open,2025-08-15
430,Phishing attack,High,Resolved,2025-08-30
431,DDoS attack,High,Resolved,2025-02-11
432,Phishing attack,Medium,Resolved,2025-11-12
433,Insider threat,High,Closed,2025-10-20
434,Insider threat,Low,Resolved,2025-09-24
435,Credential stuffing,High,In Progress,2025-11-03
436,Phishing attack,Critical,Resolved,2024-12-24
437,Malware infection,Medium,In Progress,2025-05-30
438,Cross-site scripting,Medium,Resolved,2025-01-31
439,Data breach,Critical,Closed,2025-01-28
440,Insider threat,High,Open,2025-04-25
441,Credential stuffing,Low,In Progress,2024-11-26
442,Unauthorized access,Medium,Closed,2025-07-05
443,Insider threat,Low,In Progress,2025-07-11
444,Malware infection,Critical,In Progress,2025-08-08
445,Malware infection,High,Resolved,2025-08-16
446,Phishing attack,High,Open,2025-05-22
447,Insider threat,Medium,Closed,2025-07-25
448,Phishing attack,Low,Closed,2025-04-06
449,SQL injection,Low,Open,2025-01-24
450,Malware infection,Critical,Open,2025-01-12
451,Cross-site scripting,Low,Resolved,2025-06-02
452,Data breach,Medium,In Progress,2024-11-29
453,SQL injection,Critical,Closed,2025-10-22
454,Insider threat,Critical,Closed,2025-05-31
455,Data breach,High,Closed,2025-05-28
456,Unauthorized access,Medium,In Progress,2025-10-04
457,DDoS attack,Critical,Resolved,2025-07-31
458,Ransomware detected,Medium,Open,2025-11-03
459,Insider threat,Medium,Closed,2025-07-27
460,DDoS attack,High,Open,2024-12-31
461,Malware infection,Medium,Resolved,2024-11-25
462,DDoS attack,Medium,Resolved,2025-11-05
463,Ransomware detected,Critical,In Progress,2025-11-07
464,Cross-site scripting,High,Resolved,2025-03-10
465,Ransomware detected,High,Resolved,2025-04-10
466,Cross-site scripting,Medium,Closed,2025-05-29
467,Phishing attack,Critical,In Progress,2025-01-18
468,SQL injection,Critical,Closed,2025-08-25
469,Phishing attack,Medium,Open,2025-03-13
470,DDoS attack,Low,Resolved,2025-05-02
471,Insider threat,Low,Open,2025-10-17
472,Credential stuffing,Critical,Open,2025-10-16
473,Data breach,Medium,Resolved,2025-03-14
474,Unauthorized access,Low,Resolved,2025-02-23
475,Insider threat,Critical,Resolved,2024-11-20
476,Phishing attack,Critical,In Progress,2025-10-06
477,DDoS attack,Medium,In Progress,2025-10-17
478,Cross-site scripting,Low,Resolved,2025-10-24
479,Ransomware detected,Critical,Closed,2025-06-04
480,Cross-site scripting,High,In Progress,2025-10-04
481,Data breach,High,Resolved,2025-04-17
482,Phishing attack,Critical,Closed,2025-05-18
483,Ransomware detected,Medium,Open,2024-11-18
484,Phishing attack,High,Open,2025-09-12
485,Unauthorized access,Medium,Closed,2025-05-31
486,SQL injection,Critical,Resolved,2024-11-17
487,Malware infection,Low,Closed,2025-11-12
488,Phishing attack,High,Open,2025-06-13
489,Phishing attack,Medium,Open,2025-09-30
490,Phishing attack,Low,Closed,2025-03-10
491,Unauthorized access,High,Resolved,2025-03-02
492,Cross-site scripting,High,Closed,2025-06-28
493,Data breach,Critical,Open,2025-07-10
494,DDoS attack,Low,Closed,2025-04-02
495,Credential stuffing,Low,Closed,2025-06-13
496,Cross-site scripting,High,In Progress,2025-01-29
497,Cross-site scripting,High,In Progress,2025-10-07
498,SQL injection,Low,In Progress,2025-10-15
499,Cross-site scripting,Medium,Closed,2025-05-18
500,Data breach,High,In Progress,2024-11-13
