id,name,source,category,size
167,Stock Market Prices,Google Dataset Search,Finance,2899 MB
168,Flight Delays,Data.gov,Transportation,1756 MB
169,Stock Market Prices,GitHub,Finance,3890 MB
170,Hospital Admissions,AWS Open Data,Health,1698 MB
171,Cancer Research Data,Kaggle,Health,3447 MB
172,Online Learning Analytics,Kaggle,Education,3567 MB
173,Flight Delays,UCI,Transportation,2513 MB
174,Mental Health Survey,Kaggle,Health,3081 MB
175,Soil Quality,UCI,Agriculture,3079 MB
176,Mental Health Survey,AWS Open Data,Health,1336 MB
177,Insurance Claims,GitHub,Finance,423 MB
178,Olympic Medal Counts,UCI,Sports,4856 MB
179,Livestock Statistics,AWS Open Data,Agriculture,1652 MB
180,Livestock Statistics,GitHub,Agriculture,1121 MB
181,Hospital Admissions,Data.gov,Health,2154 MB
182,Literacy Rates,Google Dataset Search,Education,1528 MB
183,Cancer Research Data,Google Dataset Search,Health,183 MB
184,Wildlife Populations,UCI,Environment,1768 MB
185,Cricket Match Data,Data.gov,Sports,591 MB
186,Football Player Stats,GitHub,Sports,4372 MB
187,Student Performance,Data.gov,Education,1375 MB
188,Stock Market Prices,Google Dataset Search,Finance,1885 MB
189,Cricket Match Data,GitHub,Sports,1679 MB
190,Water Pollution,AWS Open Data,Environment,600 MB
191,Public Transport Usage,AWS Open Data,Transportation,4603 MB
192,Tech Startup Funding,GitHub,Technology,3701 MB
193,Bank Loan Data,Data.gov,Finance,769 MB
194,Olympic Medal Counts,Google Dataset Search,Sports,2640 MB
195,Fertilizer Use,Kaggle,Agriculture,4890 MB
196,Stock Market Prices,Kaggle,Finance,1779 MB
197,Shipping Routes,Data.gov,Transportation,3281 MB
198,COVID-19 Statistics,GitHub,Health,49 MB
199,AI Research Papers,UCI,Technology,4947 MB
200,Air Quality Index,Google Dataset Search,Environment,2728 MB
201,Public Transport Usage,Data.gov,Transportation,2345 MB
202,Cybersecurity Incidents,UCI,Technology,2869 MB
203,AI Research Papers,GitHub,Technology,3326 MB
204,Mental Health Survey,Data.gov,Health,2202 MB
205,Cricket Match Data,Google Dataset Search,Sports,4983 MB
206,Insurance Claims,Kaggle,Finance,4756 MB
207,Cricket Match Data,Kaggle,Sports,91 MB
208,Fertilizer Use,UCI,Agriculture,3257 MB
209,Forest Cover Data,Data.gov,Environment,2701 MB
210,Literacy Rates,Google Dataset Search,Education,3094 MB
211,Traffic Volume Data,AWS Open Data,Transportation,2518 MB
212,Water Pollution,Google Dataset Search,Environment,1892 MB
213,Insurance Claims,GitHub,Finance,2914 MB
214,Student Performance,Google Dataset Search,Education,784 MB
215,Shipping Routes,Data.gov,Transportation,1390 MB
216,Cricket Match Data,Kaggle,Sports,1871 MB
217,Insurance Claims,Kaggle,Finance,941 MB
218,Cybersecurity Incidents,Google Dataset Search,Technology,2424 MB
219,Livestock Statistics,Kaggle,Agriculture,750 MB
220,Hospital Admissions,UCI,Health,993 MB
221,Traffic Volume Data,GitHub,Transportation,43 MB
222,Vehicle Registration,Data.gov,Transportation,2130 MB
223,Olympic Medal Counts,AWS Open Data,Sports,3681 MB
224,Marathon Records,Data.gov,Sports,3189 MB
225,Farm Equipment Sales,UCI,Agriculture,3649 MB
226,Mental Health Survey,GitHub,Health,2233 MB
227,Stock Market Prices,Google Dataset Search,Finance,75 MB
228,Marathon Records,Google Dataset Search,Sports,44 MB
229,Vehicle Registration,AWS Open Data,Transportation,2132 MB
230,Hospital Admissions,Kaggle,Health,4461 MB
231,Nutrition Facts,Google Dataset Search,Health,1658 MB
232,Wildlife Populations,GitHub,Environment,3785 MB
233,Farm Equipment Sales,Kaggle,Agriculture,2401 MB
234,IoT Sensor Logs,Kaggle,Technology,1980 MB
235,Wildlife Populations,Google Dataset Search,Environment,166 MB
236,Air Quality Index,Kaggle,Environment,1034 MB
237,Mental Health Survey,Data.gov,Health,704 MB
238,Air Quality Index,Data.gov,Environment,2176 MB
239,Student Performance,GitHub,Education,4060 MB
240,Literacy Rates,Data.gov,Education,933 MB
241,Flight Delays,Data.gov,Transportation,4454 MB
242,Water Pollution,Data.gov,Environment,3433 MB
243,Marathon Records,Google Dataset Search,Sports,3188 MB
244,Cancer Research Data,UCI,Health,3116 MB
245,Air Quality Index,GitHub,Environment,4076 MB
246,Public Transport Usage,Kaggle,Transportation,807 MB
247,Cricket Match Data,Google Dataset Search,Sports,209 MB
248,NBA Season Results,AWS Open Data,Sports,4754 MB
249,Olympic Medal Counts,Google Dataset Search,Sports,4274 MB
250,Student Performance,Kaggle,Education,2146 MB
251,Software Repositories,GitHub,Technology,3795 MB
252,Literacy Rates,Google Dataset Search,Education,2279 MB
253,Stock Market Prices,Kaggle,Finance,4735 MB
254,Air Quality Index,AWS Open Data,Environment,791 MB
255,COVID-19 Statistics,GitHub,Health,4655 MB
256,Forest Cover Data,AWS Open Data,Environment,1168 MB
257,Fertilizer Use,Google Dataset Search,Agriculture,3676 MB
258,Water Pollution,Data.gov,Environment,2359 MB
259,Online Learning Analytics,Kaggle,Education,3500 MB
260,Hospital Admissions,AWS Open Data,Health,805 MB
261,Public Transport Usage,AWS Open Data,Transportation,3787 MB
262,Air Quality Index,GitHub,Environment,4112 MB
263,Literacy Rates,Google Dataset Search,Education,1369 MB
264,Bank Loan Data,Data.gov,Finance,724 MB
265,Literacy Rates,AWS Open Data,Education,4240 MB
266,Cybersecurity Incidents,UCI,Technology,2499 MB
267,Marathon Records,UCI,Sports,2031 MB
268,IoT Sensor Logs,UCI,Technology,2064 MB
269,Hospital Admissions,Google Dataset Search,Health,4668 MB
270,Nutrition Facts,Google Dataset Search,Health,3811 MB
271,Hospital Admissions,GitHub,Health,916 MB
272,Football Player Stats,UCI,Sports,3566 MB
273,Literacy Rates,UCI,Education,3599 MB
274,Olympic Medal Counts,AWS Open Data,Sports,1599 MB
275,Shipping Routes,UCI,Transportation,3483 MB
276,Online Learning Analytics,Data.gov,Education,1177 MB
277,Football Player Stats,Kaggle,Sports,4087 MB
278,Forest Cover Data,Kaggle,Environment,1374 MB
279,Climate Change Indicators,Kaggle,Environment,3977 MB
280,Literacy Rates,AWS Open Data,Education,1245 MB
281,Forest Cover Data,Google Dataset Search,Environment,1385 MB
282,COVID-19 Statistics,Kaggle,Health,3474 MB
283,Hospital Admissions,UCI,Health,2810 MB
284,Cryptocurrency Trends,Kaggle,Finance,1709 MB
285,Insurance Claims,AWS Open Data,Finance,767 MB
286,Marathon Records,Kaggle,Sports,1753 MB
287,Cancer Research Data,GitHub,Health,2292 MB
288,Cybersecurity Incidents,AWS Open Data,Technology,2854 MB
289,Forest Cover Data,Kaggle,Environment,2120 MB
290,Stock Market Prices,AWS Open Data,Finance,3649 MB
291,Fertilizer Use,AWS Open Data,Agriculture,1286 MB
292,University Rankings,AWS Open Data,Education,2805 MB
293,Student Performance,Kaggle,Education,1370 MB
294,IoT Sensor Logs,Kaggle,Technology,3607 MB
295,IoT Sensor Logs,Kaggle,Technology,2580 MB
296,COVID-19 Statistics,GitHub,Health,4035 MB
297,Wildlife Populations,AWS Open Data,Environment,4225 MB
298,COVID-19 Statistics,Google Dataset Search,Health,733 MB
299,Tech Startup Funding,Google Dataset Search,Technology,4177 MB
300,Hospital Admissions,UCI,Health,4948 MB
301,Farm Equipment Sales,UCI,Agriculture,4569 MB
302,Olympic Medal Counts,AWS Open Data,Sports,3456 MB
303,Stock Market Prices,Google Dataset Search,Finance,4824 MB
304,Literacy Rates,Google Dataset Search,Education,2208 MB
305,Olympic Medal Counts,Data.gov,Sports,1605 MB
306,Shipping Routes,Data.gov,Transportation,2304 MB
307,Forest Cover Data,GitHub,Environment,4763 MB
308,Shipping Routes,AWS Open Data,Transportation,759 MB
309,COVID-19 Statistics,GitHub,Health,2435 MB
310,Nutrition Facts,Kaggle,Health,3099 MB
311,Public Transport Usage,AWS Open Data,Transportation,1292 MB
312,Stock Market Prices,GitHub,Finance,81 MB
313,Literacy Rates,Data.gov,Education,919 MB
314,Insurance Claims,AWS Open Data,Finance,1633 MB
315,Nutrition Facts,AWS Open Data,Health,953 MB
316,Tech Startup Funding,UCI,Technology,88 MB
317,University Rankings,UCI,Education,118 MB
318,Literacy Rates,Kaggle,Education,3349 MB
319,Soil Quality,UCI,Agriculture,1226 MB
320,Traffic Volume Data,Google Dataset Search,Transportation,325 MB
321,Cryptocurrency Trends,Google Dataset Search,Finance,556 MB
322,Hospital Admissions,GitHub,Health,79 MB
323,Online Learning Analytics,Kaggle,Education,3039 MB
324,Traffic Volume Data,GitHub,Transportation,2727 MB
325,Wildlife Populations,GitHub,Environment,868 MB
326,Water Pollution,AWS Open Data,Environment,4840 MB
327,Vehicle Registration,GitHub,Transportation,1225 MB
328,Wildlife Populations,Kaggle,Environment,2801 MB
329,Nutrition Facts,UCI,Health,1338 MB
330,Mental Health Survey,Data.gov,Health,806 MB
331,Literacy Rates,UCI,Education,380 MB
332,Livestock Statistics,Google Dataset Search,Agriculture,2196 MB
333,School Attendance,GitHub,Education,4798 MB
334,Online Learning Analytics,Google Dataset Search,Education,272 MB
335,Mental Health Survey,GitHub,Health,895 MB
336,Bank Loan Data,AWS Open Data,Finance,2001 MB
337,Bank Loan Data,AWS Open Data,Finance,3071 MB
338,Nutrition Facts,UCI,Health,2651 MB
339,Cricket Match Data,AWS Open Data,Sports,2361 MB
340,Forest Cover Data,Data.gov,Environment,1948 MB
341,Livestock Statistics,Google Dataset Search,Agriculture,2696 MB
342,Public Transport Usage,GitHub,Transportation,2430 MB
343,University Rankings,Kaggle,Education,1171 MB
344,Software Repositories,Kaggle,Technology,2460 MB
345,AI Research Papers,Data.gov,Technology,3059 MB
346,NBA Season Results,AWS Open Data,Sports,4169 MB
347,Bank Loan Data,Kaggle,Finance,2442 MB
348,Flight Delays,UCI,Transportation,1180 MB
349,Literacy Rates,GitHub,Education,1116 MB
350,Flight Delays,GitHub,Transportation,1880 MB
351,Air Quality Index,AWS Open Data,Environment,3962 MB
352,COVID-19 Statistics,Data.gov,Health,4616 MB
353,Fertilizer Use,AWS Open Data,Agriculture,4776 MB
354,Cybersecurity Incidents,AWS Open Data,Technology,4707 MB
355,Software Repositories,GitHub,Technology,392 MB
356,Online Learning Analytics,Kaggle,Education,2852 MB
357,Wildlife Populations,GitHub,Environment,3892 MB
358,Cancer Research Data,UCI,Health,3902 MB
359,Marathon Records,Google Dataset Search,Sports,4088 MB
360,Vehicle Registration,Kaggle,Transportation,247 MB
361,Vehicle Registration,Google Dataset Search,Transportation,3783 MB
362,IoT Sensor Logs,GitHub,Technology,4493 MB
363,Climate Change Indicators,AWS Open Data,Environment,1437 MB
364,Credit Card Transactions,Kaggle,Finance,3587 MB
365,Water Pollution,Kaggle,Environment,3726 MB
366,Fertilizer Use,UCI,Agriculture,785 MB
367,Nutrition Facts,AWS Open Data,Health,4600 MB
368,Water Pollution,Data.gov,Environment,3486 MB
369,Cricket Match Data,UCI,Sports,2334 MB
370,Forest Cover Data,GitHub,Environment,3609 MB
371,Insurance Claims,AWS Open Data,Finance,1132 MB
372,COVID-19 Statistics,GitHub,Health,119 MB
373,School Attendance,AWS Open Data,Education,2021 MB
374,Crop Yields,Google Dataset Search,Agriculture,2365 MB
375,Fertilizer Use,AWS Open Data,Agriculture,741 MB
376,Vehicle Registration,Google Dataset Search,Transportation,958 MB
377,Football Player Stats,AWS Open Data,Sports,2385 MB
378,Online Learning Analytics,GitHub,Education,1118 MB
379,Literacy Rates,GitHub,Education,4992 MB
380,Software Repositories,GitHub,Technology,4103 MB
381,University Rankings,GitHub,Education,3351 MB
382,Public Transport Usage,Data.gov,Transportation,1534 MB
383,Stock Market Prices,AWS Open Data,Finance,2926 MB
384,Farm Equipment Sales,Kaggle,Agriculture,4572 MB
385,School Attendance,GitHub,Education,4009 MB
386,NBA Season Results,Data.gov,Sports,379 MB
387,Online Learning Analytics,Data.gov,Education,2352 MB
388,Bank Loan Data,Google Dataset Search,Finance,2813 MB
389,Fertilizer Use,Data.gov,Agriculture,459 MB
390,Farm Equipment Sales,Google Dataset Search,Agriculture,4264 MB
391,Shipping Routes,Kaggle,Transportation,1087 MB
392,Farm Equipment Sales,Kaggle,Agriculture,2978 MB
393,Hospital Admissions,UCI,Health,1180 MB
394,Public Transport Usage,AWS Open Data,Transportation,209 MB
395,School Attendance,Kaggle,Education,546 MB
396,Mental Health Survey,Data.gov,Health,4813 MB
397,Football Player Stats,GitHub,Sports,1487 MB
398,Cricket Match Data,UCI,Sports,4558 MB
399,Fertilizer Use,Kaggle,Agriculture,2245 MB
400,School Attendance,Data.gov,Education,1086 MB
401,Shipping Routes,AWS Open Data,Transportation,2218 MB
402,Student Performance,GitHub,Education,4023 MB
403,Online Learning Analytics,Data.gov,Education,1451 MB
404,Cricket Match Data,Kaggle,Sports,4686 MB
405,Software Repositories,GitHub,Technology,2815 MB
406,Nutrition Facts,Data.gov,Health,408 MB
407,Tech Startup Funding,Data.gov,Technology,2674 MB
408,Bank Loan Data,UCI,Finance,476 MB
409,Wildlife Populations,Kaggle,Environment,1949 MB
410,Wildlife Populations,UCI,Environment,157 MB
411,COVID-19 Statistics,UCI,Health,2646 MB
412,Software Repositories,Data.gov,Technology,4328 MB
413,Olympic Medal Counts,AWS Open Data,Sports,3754 MB
414,Shipping Routes,UCI,Transportation,3091 MB
415,Credit Card Transactions,Data.gov,Finance,1959 MB
416,Online Learning Analytics,AWS Open Data,Education,749 MB
417,Traffic Volume Data,Google Dataset Search,Transportation,4888 MB
418,NBA Season Results,Data.gov,Sports,2064 MB
419,Cricket Match Data,Google Dataset Search,Sports,4292 MB
420,Climate Change Indicators,AWS Open Data,Environment,2987 MB
421,Shipping Routes,GitHub,Transportation,1711 MB
422,Traffic Volume Data,AWS Open Data,Transportation,2954 MB
423,Mental Health Survey,Kaggle,Health,4147 MB
424,Literacy Rates,AWS Open Data,Education,3148 MB
425,Olympic Medal Counts,Kaggle,Sports,4500 MB
426,Cybersecurity Incidents,Data.gov,Technology,443 MB
427,Cricket Match Data,Data.gov,Sports,4932 MB
428,Livestock Statistics,Kaggle,Agriculture,228 MB
429,Soil Quality,Data.gov,Agriculture,1209 MB
430,Flight Delays,Data.gov,Transportation,357 MB
431,Water Pollution,AWS Open Data,Environment,24 MB
432,Air Quality Index,AWS Open Data,Environment,1475 MB
433,Bank Loan Data,GitHub,Finance,3289 MB
434,Water Pollution,GitHub,Environment,4703 MB
435,School Attendance,GitHub,Education,4330 MB
436,Hospital Admissions,Data.gov,Health,4263 MB
437,Traffic Volume Data,Kaggle,Transportation,3210 MB
438,Credit Card Transactions,Data.gov,Finance,1635 MB
439,Nutrition Facts,AWS Open Data,Health,173 MB
440,Cricket Match Data,AWS Open Data,Sports,2723 MB
441,Air Quality Index,Google Dataset Search,Environment,3873 MB
442,COVID-19 Statistics,GitHub,Health,3114 MB
443,Forest Cover Data,Google Dataset Search,Environment,4638 MB
444,Football Player Stats,UCI,Sports,2943 MB
445,IoT Sensor Logs,GitHub,Technology,4506 MB
446,Bank Loan Data,UCI,Finance,3947 MB
447,Vehicle Registration,Google Dataset Search,Transportation,1698 MB
448,Crop Yields,Kaggle,Agriculture,546 MB
449,Shipping Routes,AWS Open Data,Transportation,4832 MB
450,AI Research Papers,UCI,Technology,1558 MB
451,AI Research Papers,UCI,Technology,537 MB
452,Traffic Volume Data,Data.gov,Transportation,1437 MB
453,University Rankings,Google Dataset Search,Education,3619 MB
454,Traffic Volume Data,Data.gov,Transportation,2146 MB
455,Credit Card Transactions,Google Dataset Search,Finance,1487 MB
456,Public Transport Usage,GitHub,Transportation,1705 MB
457,Crop Yields,UCI,Agriculture,3705 MB
458,School Attendance,AWS Open Data,Education,679 MB
459,Fertilizer Use,AWS Open Data,Agriculture,589 MB
460,Cryptocurrency Trends,Data.gov,Finance,2764 MB
461,Cryptocurrency Trends,GitHub,Finance,4620 MB
462,Vehicle Registration,UCI,Transportation,2468 MB
463,Public Transport Usage,Kaggle,Transportation,737 MB
464,Olympic Medal Counts,UCI,Sports,4878 MB
465,Air Quality Index,GitHub,Environment,511 MB
466,IoT Sensor Logs,AWS Open Data,Technology,1908 MB
467,Tech Startup Funding,Data.gov,Technology,1521 MB
468,Livestock Statistics,UCI,Agriculture,132 MB
469,Cricket Match Data,UCI,Sports,4157 MB
470,Livestock Statistics,Data.gov,Agriculture,4407 MB
471,Air Quality Index,GitHub,Environment,1326 MB
472,Soil Quality,AWS Open Data,Agriculture,1872 MB
473,School Attendance,AWS Open Data,Education,3352 MB
474,Water Pollution,AWS Open Data,Environment,1228 MB
475,NBA Season Results,GitHub,Sports,1178 MB
476,Climate Change Indicators,GitHub,Environment,3584 MB
477,Air Quality Index,GitHub,Environment,1066 MB
478,Football Player Stats,Kaggle,Sports,2168 MB
479,Software Repositories,GitHub,Technology,1651 MB
480,Forest Cover Data,UCI,Environment,798 MB
481,Bank Loan Data,Kaggle,Finance,2758 MB
482,Mental Health Survey,Data.gov,Health,2802 MB
483,Nutrition Facts,Data.gov,Health,597 MB
484,Mental Health Survey,Data.gov,Health,1678 MB
485,Olympic Medal Counts,GitHub,Sports,4260 MB
486,Soil Quality,UCI,Agriculture,1309 MB
487,School Attendance,UCI,Education,4437 MB
488,Cricket Match Data,GitHub,Sports,1103 MB
489,Water Pollution,Google Dataset Search,Environment,3351 MB
490,Shipping Routes,Google Dataset Search,Transportation,2980 MB
491,Tech Startup Funding,GitHub,Technology,1440 MB
492,Livestock Statistics,UCI,Agriculture,3286 MB
493,Student Performance,Google Dataset Search,Education,4413 MB
494,Mental Health Survey,UCI,Health,3682 MB
495,Water Pollution,Kaggle,Environment,4986 MB
496,Crop Yields,Kaggle,Agriculture,2150 MB
497,Cybersecurity Incidents,GitHub,Technology,2614 MB
498,COVID-19 Statistics,UCI,Health,2870 MB
499,Fertilizer Use,Kaggle,Agriculture,3742 MB
500,Stock Market Prices,Data.gov,Finance,1263 MB
