id,title,priority,status,created_date
70,Email not syncing,Critical,Open,2025-10-28
71,Software installation request,Medium,Resolved,2024-06-18
72,Slow internet speed,Medium,In Progress,2024-09-18
73,Monitor flickering,High,Closed,2025-06-04
74,System crash,Medium,Open,2025-08-28
75,Software installation request,Medium,In Progress,2025-07-07
76,Printer not responding,Medium,Closed,2025-01-03
77,Laptop overheating,Critical,In Progress,2025-09-19
78,Outlook not opening,High,In Progress,2025-05-29
79,Unable to connect to WiFi,Medium,In Progress,2025-03-14
80,VPN connection failed,Critical,In Progress,2024-09-30
81,Outlook not opening,Critical,Resolved,2025-05-30
82,Password reset needed,Critical,On Hold,2024-11-04
83,Software license expired,High,Resolved,2025-10-20
84,Antivirus update issue,High,On Hold,2025-09-25
85,Slow internet speed,Medium,Open,2025-08-22
86,System crash,High,On Hold,2025-08-31
87,Software license expired,Medium,On Hold,2025-07-16
88,Printer not responding,Low,On Hold,2025-01-04
89,Data backup failure,Critical,In Progress,2023-12-30
90,Laptop overheating,High,On Hold,2025-10-21
91,Hardware replacement request,Medium,Resolved,2025-07-20
92,Blue screen error,Medium,Open,2024-11-21
93,Server downtime alert,Critical,In Progress,2023-11-24
94,Unable to connect to WiFi,Low,Resolved,2025-10-15
95,Outlook not opening,Medium,Closed,2024-09-16
96,Printer not responding,High,Closed,2024-04-18
97,VPN connection failed,Critical,Closed,2025-06-20
98,Outlook not opening,Critical,On Hold,2024-02-09
99,Outlook not opening,Medium,Resolved,2025-03-26
100,Access denied to shared folder,Medium,On Hold,2025-10-10
101,Antivirus update issue,Critical,On Hold,2024-08-29
102,Printer not responding,High,Closed,2024-11-05
103,Laptop overheating,Medium,Closed,2025-09-13
104,Server downtime alert,Medium,In Progress,2025-07-06
105,Slow internet speed,Critical,Open,2024-12-26
106,System crash,Medium,Open,2025-07-02
107,Printer not responding,Low,Closed,2024-12-06
108,Printer not responding,Medium,On Hold,2025-10-23
109,Two-factor authentication issue,Low,In Progress,2024-06-07
110,Slow internet speed,High,Open,2024-01-22
111,Data backup failure,High,Resolved,2024-07-27
112,Printer not responding,High,In Progress,2024-09-14
113,Printer not responding,Low,In Progress,2024-11-04
114,Data backup failure,Critical,Open,2025-08-09
115,Unable to connect to WiFi,Critical,On Hold,2025-02-16
116,Password reset needed,Critical,On Hold,2024-09-04
117,Access denied to shared folder,Medium,Closed,2025-03-25
118,Printer not responding,High,Resolved,2024-09-11
119,Email not syncing,Critical,Closed,2024-04-05
120,Slow internet speed,Medium,Resolved,2024-08-14
121,Hardware replacement request,Medium,In Progress,2025-02-22
122,Server downtime alert,Low,Open,2024-11-09
123,Unable to connect to WiFi,High,Closed,2024-07-18
124,Data backup failure,High,In Progress,2024-04-07
125,Slow internet speed,Critical,Resolved,2025-02-19
126,Data backup failure,High,Closed,2025-09-28
127,Hardware replacement request,Critical,Closed,2025-02-08
128,Software license expired,High,Closed,2025-04-06
129,Data backup failure,Medium,Open,2024-02-16
130,VPN connection failed,Critical,Resolved,2025-09-28
131,Access denied to shared folder,Low,On Hold,2025-10-14
132,Monitor flickering,High,Open,2023-12-14
133,Data backup failure,Medium,Open,2024-09-04
134,Access denied to shared folder,Low,Resolved,2025-06-14
135,Software license expired,Low,On Hold,2025-05-19
136,Hardware replacement request,Critical,Resolved,2024-04-15
137,VPN connection failed,Critical,Open,2025-07-04
138,Unable to connect to WiFi,Low,Open,2024-02-25
139,Software license expired,Medium,On Hold,2025-01-21
140,Slow internet speed,Low,Resolved,2023-12-14
141,Data backup failure,Medium,On Hold,2024-12-05
142,Unable to connect to WiFi,Low,Open,2025-08-09
143,Password reset needed,Critical,In Progress,2024-08-14
144,Access denied to shared folder,High,Closed,2024-11-16
145,VPN connection failed,Low,Resolved,2025-10-26
146,VPN connection failed,High,Resolved,2025-04-14
147,Software installation request,Critical,Open,2025-01-18
148,Laptop overheating,Low,Resolved,2024-01-21
149,Email not syncing,Medium,On Hold,2025-03-15
150,Monitor flickering,Critical,Resolved,2024-12-03
151,Laptop overheating,Low,In Progress,2024-07-06
152,Hardware replacement request,Medium,Resolved,2024-09-29
153,Unable to connect to WiFi,Critical,Closed,2025-04-06
154,Laptop overheating,Medium,Resolved,2024-09-20
155,Software installation request,Low,On Hold,2024-06-16
156,Laptop overheating,Medium,Closed,2025-07-30
157,Antivirus update issue,High,Resolved,2025-07-06
158,Blue screen error,Medium,Open,2025-04-14
159,Email not syncing,Critical,Resolved,2025-01-30
160,Printer not responding,Medium,On Hold,2024-09-02
161,Software license expired,High,Resolved,2024-10-15
162,New user account setup,Medium,On Hold,2024-01-28
163,Printer not responding,Medium,On Hold,2024-03-14
164,Unable to connect to WiFi,High,Open,2024-10-18
165,Monitor flickering,High,Resolved,2023-12-11
166,System crash,Low,Closed,2025-05-08
167,Data backup failure,Medium,In Progress,2024-05-19
168,Data backup failure,Critical,Open,2024-05-20
169,Slow internet speed,Low,Open,2025-02-04
170,Printer not responding,Low,In Progress,2025-05-05
171,New user account setup,Critical,Resolved,2024-01-04
172,Email not syncing,High,Open,2023-12-17
173,Two-factor authentication issue,Low,Closed,2025-09-29
174,Blue screen error,Critical,Open,2025-01-08
175,Password reset needed,High,In Progress,2024-02-10
176,Server downtime alert,Low,Resolved,2025-03-29
177,Access denied to shared folder,Medium,On Hold,2025-07-07
178,Password reset needed,Low,Resolved,2025-04-27
179,New user account setup,High,In Progress,2025-03-19
180,Email not syncing,Medium,Resolved,2024-08-23
181,VPN connection failed,Low,On Hold,2024-12-15
182,Monitor flickering,High,On Hold,2024-04-22
183,Laptop overheating,Medium,In Progress,2025-05-09
184,Blue screen error,Critical,Open,2024-10-13
185,VPN connection failed,Critical,Open,2024-08-09
186,Data backup failure,Critical,In Progress,2024-05-20
187,Outlook not opening,High,Open,2025-02-17
188,Unable to connect to WiFi,Medium,Closed,2024-03-02
189,Hardware replacement request,Medium,Resolved,2024-05-25
190,Monitor flickering,Critical,In Progress,2024-01-07
191,Monitor flickering,Low,Open,2024-09-19
192,System crash,Medium,In Progress,2024-10-23
193,Slow internet speed,Critical,In Progress,2024-11-29
194,System crash,Medium,Open,2024-03-03
195,Password reset needed,Low,Closed,2024-02-02
196,Software license expired,Critical,Closed,2025-05-13
197,Outlook not opening,Medium,On Hold,2025-02-11
198,Unable to connect to WiFi,Critical,On Hold,2024-05-13
199,Printer not responding,Low,On Hold,2025-08-01
200,Hardware replacement request,Medium,Closed,2025-07-23
201,Password reset needed,Low,Closed,2025-05-08
202,Server downtime alert,Low,In Progress,2024-07-10
203,Data backup failure,High,Resolved,2025-10-06
204,Blue screen error,High,Open,2024-06-21
205,Printer not responding,Critical,In Progress,2025-05-16
206,Two-factor authentication issue,High,On Hold,2024-03-07
207,Printer not responding,Medium,Closed,2025-08-27
208,Two-factor authentication issue,Medium,In Progress,2024-04-04
209,Software license expired,Medium,In Progress,2024-04-22
210,Outlook not opening,Medium,On Hold,2025-01-28
211,Data backup failure,Low,Resolved,2023-11-19
212,Software installation request,Critical,On Hold,2024-05-05
213,New user account setup,Critical,In Progress,2025-09-22
214,Two-factor authentication issue,Critical,In Progress,2025-07-15
215,Slow internet speed,Low,Open,2025-03-28
216,Unable to connect to WiFi,Low,On Hold,2023-12-09
217,Software license expired,Critical,Resolved,2025-03-06
218,Slow internet speed,Low,Closed,2025-10-19
219,System crash,Critical,Open,2024-08-05
220,System crash,Low,Closed,2025-09-11
221,Software license expired,High,Open,2025-05-31
222,Software installation request,Medium,Resolved,2025-07-24
223,New user account setup,Low,In Progress,2024-10-01
224,Software license expired,Low,On Hold,2025-03-25
225,System crash,Critical,On Hold,2024-05-24
226,Email not syncing,Low,On Hold,2025-06-11
227,Blue screen error,Low,Resolved,2024-05-06
228,Outlook not opening,Low,On Hold,2024-10-13
229,New user account setup,Low,Resolved,2024-05-10
230,Email not syncing,Critical,Open,2024-04-22
231,New user account setup,Medium,Resolved,2025-04-08
232,Data backup failure,Medium,Resolved,2024-08-05
233,Laptop overheating,Low,Closed,2025-05-24
234,Two-factor authentication issue,Critical,In Progress,2024-10-14
235,Outlook not opening,Medium,On Hold,2024-12-05
236,Two-factor authentication issue,Low,Closed,2025-09-24
237,Data backup failure,Low,On Hold,2024-12-30
238,Printer not responding,Low,Resolved,2024-11-20
239,Printer not responding,Medium,Resolved,2024-11-26
240,Email not syncing,Medium,On Hold,2025-06-09
241,Software license expired,Low,Closed,2024-02-04
242,Email not syncing,Critical,In Progress,2025-03-13
243,Antivirus update issue,Medium,Resolved,2024-01-04
244,Password reset needed,Low,Closed,2024-07-22
245,Software installation request,Low,Open,2024-07-06
246,Antivirus update issue,Medium,Closed,2024-12-17
247,Two-factor authentication issue,High,On Hold,2025-01-24
248,VPN connection failed,High,Closed,2025-05-01
249,Software license expired,Medium,Open,2024-01-09
250,Access denied to shared folder,Medium,In Progress,2024-09-16
251,Outlook not opening,Medium,In Progress,2024-01-17
252,Monitor flickering,Medium,In Progress,2023-12-08
253,Two-factor authentication issue,Critical,In Progress,2024-06-28
254,New user account setup,High,On Hold,2023-12-07
255,Software installation request,High,Closed,2025-10-18
256,Blue screen error,Medium,On Hold,2023-11-29
257,Unable to connect to WiFi,Medium,On Hold,2024-06-15
258,Access denied to shared folder,Medium,Open,2024-01-07
259,Password reset needed,Low,Open,2025-05-19
260,Antivirus update issue,High,In Progress,2025-11-01
261,Email not syncing,High,Resolved,2024-08-18
262,Outlook not opening,Low,Resolved,2025-05-28
263,Monitor flickering,Critical,Closed,2023-11-28
264,Hardware replacement request,Medium,Open,2025-03-30
265,Laptop overheating,High,Open,2024-07-01
266,Password reset needed,Medium,Resolved,2024-05-10
267,Two-factor authentication issue,High,In Progress,2024-08-07
268,System crash,High,In Progress,2025-01-03
269,Outlook not opening,Critical,Open,2025-06-11
270,Email not syncing,Low,On Hold,2024-12-12
271,Antivirus update issue,Critical,Closed,2025-09-30
272,System crash,High,Resolved,2025-03-06
273,Antivirus update issue,Critical,Closed,2025-04-23
274,Access denied to shared folder,Low,On Hold,2024-03-25
275,Password reset needed,Low,Closed,2025-05-26
276,Hardware replacement request,High,Open,2024-10-05
277,Laptop overheating,Medium,On Hold,2024-06-20
278,Data backup failure,Critical,On Hold,2024-12-27
279,Password reset needed,High,On Hold,2025-05-15
280,Hardware replacement request,Low,On Hold,2024-02-03
281,Email not syncing,Low,Open,2024-02-03
282,Monitor flickering,Critical,Resolved,2025-01-12
283,VPN connection failed,High,Closed,2025-08-30
284,Server downtime alert,Critical,Open,2023-12-03
285,Two-factor authentication issue,High,On Hold,2024-06-16
286,Email not syncing,Low,Closed,2025-09-15
287,Email not syncing,Critical,Resolved,2024-08-05
288,VPN connection failed,Low,Resolved,2024-06-18
289,Data backup failure,Low,On Hold,2025-08-29
290,Two-factor authentication issue,Medium,Resolved,2025-03-19
291,Blue screen error,High,Resolved,2025-05-30
292,Laptop overheating,Critical,Closed,2024-10-11
293,Outlook not opening,Medium,Closed,2024-08-23
294,Antivirus update issue,Medium,Open,2023-11-17
295,Antivirus update issue,Critical,On Hold,2024-01-25
296,Antivirus update issue,Medium,Resolved,2024-12-20
297,Software license expired,Medium,In Progress,2025-11-10
298,VPN connection failed,Critical,On Hold,2025-04-08
299,Outlook not opening,Low,Resolved,2025-08-03
300,Access denied to shared folder,High,In Progress,2024-03-04
301,Two-factor authentication issue,High,Resolved,2024-04-22
302,Monitor flickering,Low,In Progress,2024-01-04
303,System crash,High,Open,2025-09-20
304,Access denied to shared folder,High,Resolved,2024-02-02
305,Laptop overheating,High,On Hold,2024-07-29
306,Two-factor authentication issue,High,Open,2024-11-07
307,Data backup failure,High,Closed,2025-01-25
308,Password reset needed,Low,Resolved,2023-12-09
309,Server downtime alert,Critical,Closed,2024-04-21
310,Access denied to shared folder,Medium,In Progress,2024-12-17
311,Blue screen error,Critical,In Progress,2024-11-07
312,Hardware replacement request,Critical,Closed,2024-11-03
313,Unable to connect to WiFi,High,Resolved,2024-05-27
314,Antivirus update issue,High,Closed,2025-01-07
315,New user account setup,Medium,Closed,2025-09-30
316,Slow internet speed,High,Open,2025-09-05
317,Access denied to shared folder,Critical,On Hold,2025-04-20
318,Outlook not opening,Low,Open,2025-05-02
319,Software installation request,Critical,In Progress,2025-10-22
320,Password reset needed,Critical,In Progress,2024-08-03
321,VPN connection failed,Low,Open,2024-07-20
322,Software installation request,High,Closed,2023-11-24
323,New user account setup,Critical,In Progress,2024-01-24
324,Password reset needed,Medium,Closed,2024-05-29
325,Access denied to shared folder,High,Open,2024-03-15
326,Blue screen error,High,In Progress,2025-10-04
327,Hardware replacement request,High,Open,2024-12-22
328,Hardware replacement request,Low,Open,2024-08-27
329,Hardware replacement request,Critical,Resolved,2025-03-03
330,Slow internet speed,Critical,In Progress,2024-09-16
331,VPN connection failed,Medium,Closed,2024-08-03
332,Outlook not opening,High,Closed,2024-05-07
333,Monitor flickering,Low,On Hold,2025-05-24
334,Data backup failure,Medium,Closed,2024-09-16
335,Access denied to shared folder,High,On Hold,2025-02-25
336,Blue screen error,Critical,Closed,2024-05-29
337,Two-factor authentication issue,Critical,Closed,2025-08-12
338,Server downtime alert,High,Closed,2025-09-27
339,Monitor flickering,Medium,Closed,2025-10-09
340,Monitor flickering,Critical,Open,2025-03-15
341,Password reset needed,High,In Progress,2023-12-30
342,Two-factor authentication issue,Low,In Progress,2025-04-27
343,Hardware replacement request,Critical,On Hold,2025-06-10
344,Antivirus update issue,High,Closed,2025-11-10
345,Software license expired,High,Resolved,2025-06-30
346,New user account setup,Critical,Resolved,2024-10-02
347,Blue screen error,Critical,On Hold,2023-12-02
348,System crash,Critical,On Hold,2025-09-12
349,Data backup failure,High,Resolved,2024-02-09
350,New user account setup,Low,Open,2024-01-17
351,Printer not responding,Medium,Resolved,2024-02-18
352,New user account setup,Critical,Closed,2024-04-25
353,Blue screen error,Medium,Closed,2024-04-21
354,Hardware replacement request,Low,Closed,2025-11-04
355,System crash,High,On Hold,2024-01-29
356,Access denied to shared folder,Low,On Hold,2025-10-26
357,Password reset needed,Medium,Closed,2024-04-15
358,Outlook not opening,Low,Closed,2024-11-12
359,Printer not responding,Low,On Hold,2025-03-03
360,Hardware replacement request,Medium,Closed,2025-01-02
361,Software installation request,Low,Open,2025-01-14
362,System crash,Critical,On Hold,2025-08-02
363,Access denied to shared folder,High,Resolved,2025-04-28
364,Unable to connect to WiFi,High,In Progress,2024-09-03
365,Outlook not opening,High,Open,2024-04-18
366,Laptop overheating,Low,Resolved,2025-02-14
367,Server downtime alert,Critical,On Hold,2025-10-08
368,Software license expired,High,On Hold,2024-08-22
369,Unable to connect to WiFi,Low,In Progress,2025-06-04
370,Outlook not opening,Low,Closed,2024-06-07
371,Password reset needed,High,Closed,2025-10-07
372,Slow internet speed,Low,Open,2024-03-24
373,Outlook not opening,Critical,Open,2024-06-18
374,Unable to connect to WiFi,Low,In Progress,2024-10-10
375,Outlook not opening,Medium,In Progress,2024-11-16
376,System crash,Medium,On Hold,2024-09-01
377,Access denied to shared folder,Critical,On Hold,2024-12-13
378,Software license expired,Low,Closed,2023-12-24
379,Access denied to shared folder,Medium,Resolved,2025-06-26
380,Two-factor authentication issue,Medium,In Progress,2024-05-22
381,VPN connection failed,Medium,In Progress,2024-06-08
382,Hardware replacement request,Medium,On Hold,2025-06-16
383,Laptop overheating,High,On Hold,2025-09-23
384,Antivirus update issue,High,Closed,2024-05-06
385,Two-factor authentication issue,Medium,On Hold,2024-04-04
386,New user account setup,High,On Hold,2025-05-22
387,Laptop overheating,Critical,Open,2024-11-26
388,Two-factor authentication issue,Low,Closed,2025-01-23
389,Outlook not opening,Critical,In Progress,2025-04-20
390,New user account setup,High,Open,2024-10-04
391,Email not syncing,Low,On Hold,2024-04-19
392,Printer not responding,High,In Progress,2024-06-22
393,VPN connection failed,Low,In Progress,2024-01-08
394,VPN connection failed,Low,In Progress,2024-11-01
395,Software license expired,High,Open,2024-03-08
396,Two-factor authentication issue,High,In Progress,2024-04-02
397,Access denied to shared folder,High,On Hold,2024-09-17
398,Email not syncing,High,Closed,2024-01-20
399,Hardware replacement request,Critical,On Hold,2025-09-09
400,Printer not responding,High,Closed,2024-10-30
401,System crash,Medium,On Hold,2025-06-17
402,Password reset needed,High,On Hold,2024-10-14
403,System crash,High,In Progress,2024-11-03
404,Data backup failure,High,In Progress,2024-06-16
405,Antivirus update issue,Medium,In Progress,2024-08-28
406,Slow internet speed,Medium,On Hold,2024-07-05
407,New user account setup,High,On Hold,2025-08-20
408,System crash,High,Open,2024-06-06
409,Blue screen error,High,Open,2025-02-11
410,Laptop overheating,Medium,Open,2025-01-28
411,Server downtime alert,Low,In Progress,2025-10-28
412,Two-factor authentication issue,Low,Open,2024-11-30
413,Two-factor authentication issue,High,Open,2025-09-11
414,VPN connection failed,Low,Closed,2023-12-28
415,Outlook not opening,High,Closed,2024-10-10
416,Software license expired,High,In Progress,2024-12-07
417,Software license expired,Low,On Hold,2025-05-18
418,Monitor flickering,Low,Closed,2024-07-08
419,Access denied to shared folder,Low,On Hold,2025-05-21
420,Antivirus update issue,Low,Open,2024-01-22
421,Software license expired,Critical,Open,2024-01-30
422,Slow internet speed,Low,Open,2025-11-11
423,Outlook not opening,High,Open,2024-02-29
424,System crash,Medium,In Progress,2024-01-16
425,Software license expired,High,In Progress,2025-05-21
426,Slow internet speed,Critical,Resolved,2024-06-06
427,Email not syncing,Critical,In Progress,2024-10-28
428,Software installation request,Low,Resolved,2025-10-23
429,Password reset needed,Low,On Hold,2025-09-11
430,System crash,Low,Closed,2024-04-22
431,Antivirus update issue,Medium,On Hold,2024-11-24
432,Access denied to shared folder,Medium,Open,2025-10-30
433,Unable to connect to WiFi,Critical,Open,2025-07-30
434,Monitor flickering,Low,On Hold,2025-08-29
435,Hardware replacement request,Medium,Resolved,2024-12-03
436,Two-factor authentication issue,High,In Progress,2024-07-03
437,Access denied to shared folder,Low,Closed,2025-07-16
438,Email not syncing,Medium,In Progress,2024-02-18
439,Blue screen error,Medium,On Hold,2024-12-02
440,Monitor flickering,Low,In Progress,2024-01-15
441,Antivirus update issue,Medium,Open,2024-07-26
442,Software installation request,Critical,Resolved,2025-05-09
443,Data backup failure,Critical,In Progress,2025-01-18
444,Software installation request,Medium,Open,2024-11-04
445,Email not syncing,Low,Closed,2025-05-30
446,Software license expired,Medium,Open,2023-11-30
447,Antivirus update issue,Medium,Open,2024-03-28
448,Server downtime alert,Critical,Open,2025-02-20
449,Two-factor authentication issue,Low,Closed,2025-04-17
450,Access denied to shared folder,Low,On Hold,2023-12-18
451,System crash,Medium,Open,2025-02-08
452,Software license expired,Medium,Closed,2025-11-13
453,Data backup failure,Low,Closed,2024-12-17
454,Antivirus update issue,Medium,Closed,2025-01-27
455,Outlook not opening,High,Open,2024-04-28
456,Server downtime alert,Low,On Hold,2025-09-09
457,Outlook not opening,High,In Progress,2025-08-11
458,Antivirus update issue,Medium,On Hold,2024-01-16
459,Server downtime alert,Critical,Closed,2024-11-09
460,Slow internet speed,Critical,In Progress,2024-05-11
461,Monitor flickering,Critical,In Progress,2024-12-26
462,Server downtime alert,Low,In Progress,2025-08-29
463,Software installation request,Medium,In Progress,2025-04-10
464,Data backup failure,High,In Progress,2024-04-26
465,Email not syncing,Low,Closed,2025-01-04
466,Password reset needed,High,On Hold,2025-10-05
467,Software license expired,Medium,Resolved,2024-07-30
468,Laptop overheating,Low,Closed,2024-08-13
469,Monitor flickering,Medium,In Progress,2025-06-29
470,Printer not responding,Medium,In Progress,2023-12-17
471,Unable to connect to WiFi,Medium,In Progress,2024-04-04
472,Access denied to shared folder,Medium,Open,2024-04-10
473,Software installation request,High,Closed,2025-08-11
474,Data backup failure,Low,Open,2024-10-23
475,Access denied to shared folder,Critical,Closed,2023-11-28
476,Access denied to shared folder,Critical,In Progress,2024-08-06
477,Monitor flickering,High,On Hold,2025-07-20
478,Two-factor authentication issue,Critical,On Hold,2024-07-31
479,System crash,Low,Closed,2024-05-16
480,Access denied to shared folder,Medium,Open,2025-04-22
481,Software license expired,High,In Progress,2024-08-31
482,Printer not responding,Low,Closed,2024-03-12
483,Access denied to shared folder,Critical,Open,2024-10-18
484,Access denied to shared folder,Medium,Closed,2025-03-10
485,Printer not responding,Low,On Hold,2024-01-23
486,Access denied to shared folder,Critical,On Hold,2024-08-20
487,Monitor flickering,Low,Resolved,2025-04-09
488,Two-factor authentication issue,High,Open,2023-12-20
489,Two-factor authentication issue,High,On Hold,2024-03-06
490,Server downtime alert,High,Open,2025-02-07
491,Two-factor authentication issue,Medium,On Hold,2024-07-16
492,Printer not responding,High,Resolved,2025-10-25
493,Blue screen error,Critical,In Progress,2024-12-01
494,Two-factor authentication issue,Low,On Hold,2024-05-05
495,Two-factor authentication issue,High,Open,2024-09-13
496,Email not syncing,Critical,On Hold,2024-05-07
497,Hardware replacement request,Low,Open,2024-03-15
498,Printer not responding,Critical,Resolved,2024-03-18
499,Laptop overheating,Medium,Open,2024-10-24
500,Email not syncing,High,Closed,2025-08-13
